,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,314.0,293.0,361.0,244.0,355.0,322.0,289.0,338.0,361.0,239.0,367.0,366.0
1,310.0,290.0,357.0,325.0,352.0,316.0,279.0,330.0,351.0,170.0,358.0,357.0
2,308.0,289.0,358.0,499.0,352.0,317.0,281.0,330.0,354.0,898.0,357.0,355.0
3,308.0,291.0,359.0,496.0,354.0,317.0,279.0,329.0,355.0,55.0,355.0,355.0
4,308.0,290.0,355.0,216.0,352.0,317.0,279.0,331.0,356.0,895.0,358.0,358.0
5,309.0,294.0,356.0,331.0,353.0,317.0,279.0,330.0,354.0,50.0,356.0,357.0
6,310.0,292.0,356.0,544.0,355.0,317.0,281.0,332.0,352.0,48.0,358.0,356.0
7,309.0,289.0,354.0,197.0,352.0,314.0,281.0,331.0,352.0,906.0,362.0,357.0
8,309.0,291.0,358.0,227.0,353.0,317.0,280.0,331.0,354.0,895.0,358.0,358.0
9,307.0,289.0,357.0,279.0,351.0,316.0,281.0,329.0,353.0,908.0,358.0,358.0
10,309.0,292.0,358.0,276.0,355.0,319.0,281.0,334.0,354.0,891.0,359.0,358.0
11,309.0,293.0,356.0,345.0,353.0,316.0,279.0,330.0,354.0,603.0,359.0,358.0
12,309.0,290.0,356.0,561.0,354.0,316.0,280.0,333.0,355.0,507.0,358.0,356.0
13,313.0,291.0,359.0,542.0,352.0,317.0,281.0,330.0,352.0,63.0,355.0,355.0
14,308.0,289.0,358.0,177.0,353.0,319.0,281.0,332.0,356.0,899.0,358.0,357.0
15,309.0,291.0,358.0,493.0,352.0,317.0,280.0,329.0,352.0,55.0,358.0,356.0
16,309.0,291.0,358.0,493.0,352.0,317.0,280.0,329.0,352.0,55.0,358.0,356.0
17,317.0,296.0,366.0,558.0,360.0,324.0,283.0,335.0,352.0,57.0,364.0,356.0
18,315.0,294.0,363.0,220.0,352.0,322.0,283.0,335.0,361.0,913.0,364.0,360.0
19,316.0,296.0,366.0,539.0,358.0,319.0,282.0,336.0,354.0,57.0,365.0,362.0
20,308.0,293.0,359.0,425.0,358.0,322.0,287.0,335.0,361.0,898.0,359.0,366.0
21,311.0,293.0,357.0,301.0,353.0,317.0,285.0,336.0,354.0,50.0,364.0,361.0
22,315.0,293.0,361.0,205.0,357.0,321.0,285.0,338.0,358.0,896.0,365.0,362.0
23,312.0,292.0,364.0,576.0,354.0,323.0,282.0,336.0,353.0,56.0,359.0,357.0
24,308.0,291.0,358.0,347.0,353.0,319.0,284.0,331.0,355.0,900.0,358.0,358.0
25,315.0,294.0,358.0,481.0,356.0,318.0,281.0,334.0,353.0,45.0,357.0,361.0
26,309.0,291.0,355.0,144.0,356.0,316.0,280.0,334.0,355.0,887.0,360.0,358.0
27,311.0,291.0,358.0,270.0,353.0,316.0,280.0,333.0,352.0,517.0,360.0,358.0
28,310.0,289.0,357.0,510.0,354.0,318.0,285.0,332.0,354.0,602.0,358.0,355.0
29,312.0,291.0,358.0,263.0,352.0,317.0,282.0,329.0,352.0,278.0,363.0,360.0
30,309.0,291.0,356.0,240.0,356.0,320.0,284.0,337.0,360.0,899.0,361.0,359.0
31,309.0,292.0,357.0,304.0,353.0,319.0,279.0,332.0,354.0,915.0,362.0,360.0
32,310.0,292.0,357.0,575.0,355.0,318.0,283.0,334.0,354.0,38.0,358.0,356.0
33,311.0,290.0,356.0,246.0,353.0,316.0,282.0,331.0,352.0,913.0,361.0,358.0
34,309.0,289.0,356.0,250.0,354.0,319.0,282.0,333.0,356.0,897.0,360.0,360.0
35,308.0,291.0,358.0,382.0,351.0,319.0,278.0,329.0,352.0,51.0,356.0,357.0
36,309.0,292.0,358.0,562.0,353.0,318.0,279.0,332.0,353.0,45.0,355.0,356.0
37,308.0,291.0,356.0,210.0,352.0,316.0,280.0,332.0,354.0,909.0,359.0,359.0
38,310.0,291.0,358.0,543.0,354.0,318.0,283.0,331.0,352.0,44.0,357.0,355.0
39,310.0,291.0,358.0,543.0,354.0,318.0,283.0,331.0,352.0,44.0,357.0,355.0
40,308.0,289.0,356.0,229.0,351.0,319.0,281.0,330.0,355.0,896.0,358.0,358.0
41,308.0,292.0,357.0,280.0,351.0,316.0,281.0,329.0,352.0,911.0,357.0,357.0
42,310.0,291.0,358.0,555.0,353.0,320.0,280.0,331.0,355.0,37.0,356.0,356.0
43,311.0,293.0,356.0,372.0,353.0,316.0,279.0,332.0,351.0,53.0,356.0,359.0
44,309.0,291.0,356.0,508.0,354.0,318.0,281.0,333.0,353.0,150.0,358.0,356.0
45,309.0,290.0,358.0,197.0,352.0,315.0,280.0,331.0,352.0,909.0,360.0,356.0
46,310.0,290.0,359.0,535.0,352.0,317.0,282.0,330.0,352.0,41.0,355.0,354.0
47,308.0,291.0,356.0,200.0,351.0,317.0,279.0,330.0,353.0,910.0,358.0,358.0
48,308.0,293.0,358.0,527.0,353.0,319.0,279.0,331.0,355.0,42.0,355.0,356.0
49,311.0,291.0,355.0,252.0,353.0,315.0,279.0,332.0,352.0,245.0,358.0,358.0
50,311.0,291.0,355.0,252.0,353.0,315.0,279.0,332.0,352.0,245.0,358.0,358.0
51,309.0,291.0,358.0,466.0,352.0,317.0,278.0,332.0,355.0,54.0,355.0,358.0
52,309.0,291.0,355.0,311.0,353.0,317.0,280.0,334.0,354.0,895.0,358.0,359.0
53,310.0,291.0,358.0,536.0,354.0,316.0,282.0,331.0,351.0,55.0,357.0,354.0
54,311.0,290.0,356.0,395.0,354.0,316.0,281.0,333.0,353.0,898.0,358.0,355.0
55,309.0,290.0,358.0,444.0,351.0,317.0,281.0,329.0,351.0,57.0,356.0,355.0
56,308.0,291.0,358.0,451.0,354.0,317.0,281.0,330.0,353.0,35.0,355.0,357.0
57,307.0,291.0,355.0,172.0,353.0,317.0,278.0,329.0,353.0,917.0,362.0,360.0
58,308.0,292.0,357.0,495.0,356.0,317.0,280.0,332.0,355.0,45.0,355.0,357.0
59,309.0,290.0,354.0,199.0,353.0,315.0,279.0,331.0,353.0,910.0,359.0,358.0
60,310.0,290.0,357.0,505.0,353.0,317.0,281.0,334.0,352.0,38.0,357.0,354.0
61,311.0,289.0,356.0,213.0,351.0,316.0,280.0,330.0,352.0,848.0,357.0,358.0
62,310.0,291.0,358.0,519.0,353.0,318.0,281.0,331.0,352.0,41.0,354.0,357.0
63,308.0,290.0,356.0,192.0,353.0,317.0,278.0,331.0,354.0,910.0,359.0,361.0
64,309.0,292.0,357.0,546.0,356.0,317.0,279.0,330.0,353.0,55.0,356.0,358.0
65,308.0,291.0,354.0,169.0,354.0,315.0,282.0,333.0,355.0,882.0,359.0,358.0
66,311.0,291.0,357.0,546.0,354.0,316.0,280.0,331.0,352.0,62.0,357.0,354.0
67,309.0,290.0,359.0,255.0,351.0,316.0,281.0,331.0,354.0,101.0,359.0,360.0
68,308.0,290.0,360.0,506.0,353.0,319.0,280.0,332.0,353.0,38.0,355.0,356.0
69,308.0,291.0,357.0,206.0,352.0,316.0,279.0,330.0,353.0,912.0,358.0,362.0
70,309.0,293.0,356.0,530.0,355.0,317.0,280.0,333.0,352.0,52.0,356.0,356.0
71,309.0,289.0,355.0,181.0,355.0,315.0,281.0,336.0,353.0,894.0,360.0,359.0
72,311.0,290.0,357.0,517.0,355.0,316.0,280.0,330.0,352.0,57.0,356.0,356.0
73,308.0,289.0,356.0,367.0,354.0,317.0,282.0,332.0,355.0,898.0,358.0,356.0
74,310.0,292.0,361.0,452.0,353.0,318.0,280.0,331.0,354.0,42.0,356.0,356.0
75,308.0,290.0,357.0,161.0,352.0,316.0,280.0,331.0,354.0,902.0,359.0,359.0
76,309.0,292.0,357.0,385.0,354.0,316.0,278.0,330.0,352.0,53.0,355.0,359.0
77,309.0,292.0,357.0,385.0,354.0,316.0,278.0,330.0,352.0,53.0,355.0,359.0
78,309.0,291.0,360.0,536.0,353.0,318.0,281.0,331.0,353.0,43.0,355.0,355.0
79,309.0,290.0,357.0,172.0,351.0,318.0,280.0,333.0,355.0,897.0,358.0,359.0
80,309.0,292.0,358.0,531.0,354.0,317.0,282.0,332.0,353.0,37.0,356.0,356.0
81,309.0,292.0,358.0,531.0,354.0,317.0,282.0,332.0,353.0,37.0,356.0,356.0
82,308.0,289.0,355.0,376.0,352.0,319.0,281.0,331.0,353.0,896.0,358.0,357.0
83,308.0,291.0,359.0,435.0,354.0,317.0,279.0,329.0,353.0,56.0,355.0,355.0
84,307.0,290.0,355.0,317.0,354.0,319.0,279.0,331.0,355.0,895.0,358.0,361.0
85,307.0,290.0,355.0,317.0,354.0,319.0,279.0,331.0,355.0,895.0,358.0,361.0
86,308.0,291.0,354.0,382.0,354.0,316.0,281.0,332.0,355.0,895.0,360.0,357.0
87,311.0,290.0,357.0,243.0,352.0,315.0,281.0,330.0,352.0,351.0,359.0,356.0
88,308.0,289.0,356.0,228.0,351.0,317.0,280.0,332.0,354.0,896.0,358.0,358.0
89,310.0,293.0,360.0,664.0,354.0,318.0,280.0,332.0,354.0,42.0,355.0,355.0
90,307.0,291.0,355.0,234.0,354.0,317.0,280.0,332.0,356.0,895.0,359.0,359.0
91,310.0,294.0,356.0,278.0,353.0,316.0,280.0,330.0,355.0,54.0,357.0,357.0
92,309.0,289.0,355.0,223.0,352.0,315.0,280.0,333.0,353.0,899.0,360.0,359.0
93,309.0,290.0,360.0,669.0,352.0,318.0,281.0,329.0,351.0,49.0,356.0,357.0
94,309.0,289.0,357.0,424.0,353.0,318.0,281.0,332.0,354.0,899.0,357.0,356.0
95,307.0,290.0,357.0,157.0,351.0,319.0,278.0,329.0,352.0,910.0,358.0,359.0
96,308.0,291.0,357.0,597.0,355.0,319.0,279.0,331.0,354.0,35.0,356.0,356.0
97,309.0,291.0,354.0,170.0,354.0,315.0,279.0,331.0,353.0,911.0,359.0,359.0
98,309.0,289.0,356.0,197.0,351.0,316.0,282.0,334.0,355.0,892.0,361.0,359.0
99,309.0,290.0,357.0,489.0,351.0,315.0,281.0,330.0,351.0,59.0,357.0,355.0
100,307.0,289.0,359.0,222.0,351.0,318.0,281.0,333.0,357.0,889.0,360.0,362.0
101,310.0,291.0,357.0,329.0,352.0,317.0,279.0,331.0,353.0,395.0,357.0,358.0
102,307.0,291.0,356.0,412.0,353.0,317.0,282.0,332.0,354.0,898.0,359.0,359.0
103,310.0,291.0,358.0,546.0,353.0,314.0,281.0,331.0,351.0,55.0,357.0,354.0
104,309.0,290.0,356.0,611.0,356.0,317.0,281.0,332.0,352.0,36.0,357.0,357.0
105,309.0,290.0,356.0,611.0,356.0,317.0,281.0,332.0,352.0,36.0,357.0,357.0
106,307.0,289.0,356.0,205.0,351.0,319.0,281.0,333.0,355.0,892.0,358.0,358.0
107,309.0,292.0,360.0,564.0,353.0,316.0,278.0,330.0,353.0,54.0,358.0,357.0
108,309.0,291.0,356.0,602.0,354.0,317.0,280.0,334.0,353.0,768.0,357.0,357.0
109,311.0,292.0,357.0,597.0,354.0,316.0,280.0,330.0,353.0,56.0,356.0,354.0
110,309.0,289.0,356.0,490.0,353.0,317.0,283.0,331.0,353.0,898.0,358.0,355.0
111,310.0,290.0,357.0,248.0,351.0,316.0,281.0,328.0,351.0,54.0,357.0,357.0
112,308.0,291.0,359.0,629.0,353.0,318.0,280.0,330.0,353.0,34.0,356.0,355.0
113,309.0,292.0,356.0,282.0,352.0,315.0,280.0,331.0,353.0,50.0,357.0,357.0
114,309.0,291.0,356.0,633.0,357.0,317.0,281.0,332.0,353.0,39.0,359.0,355.0
115,311.0,291.0,356.0,317.0,352.0,317.0,280.0,330.0,350.0,53.0,357.0,355.0
116,311.0,291.0,356.0,317.0,352.0,317.0,280.0,330.0,350.0,53.0,357.0,355.0
117,311.0,290.0,358.0,545.0,354.0,318.0,280.0,330.0,352.0,55.0,355.0,357.0
118,308.0,289.0,361.0,402.0,354.0,318.0,281.0,330.0,354.0,899.0,356.0,356.0
119,309.0,291.0,359.0,249.0,351.0,317.0,278.0,330.0,353.0,53.0,359.0,359.0
120,308.0,290.0,354.0,220.0,353.0,315.0,281.0,333.0,353.0,897.0,362.0,361.0
121,310.0,292.0,357.0,569.0,353.0,315.0,280.0,330.0,353.0,57.0,357.0,354.0
122,310.0,290.0,357.0,502.0,354.0,317.0,283.0,332.0,353.0,40.0,357.0,354.0
123,309.0,288.0,355.0,205.0,350.0,318.0,280.0,329.0,352.0,912.0,358.0,357.0
124,307.0,291.0,359.0,508.0,353.0,320.0,280.0,331.0,354.0,38.0,355.0,355.0
125,309.0,290.0,356.0,214.0,352.0,318.0,277.0,330.0,353.0,914.0,360.0,361.0
126,310.0,290.0,354.0,218.0,352.0,316.0,282.0,335.0,353.0,892.0,362.0,359.0
127,309.0,292.0,355.0,301.0,353.0,315.0,279.0,331.0,352.0,746.0,361.0,357.0
128,312.0,292.0,360.0,569.0,354.0,317.0,281.0,331.0,352.0,44.0,357.0,354.0
129,308.0,290.0,356.0,225.0,351.0,316.0,281.0,329.0,354.0,906.0,358.0,357.0
130,308.0,292.0,358.0,540.0,353.0,319.0,280.0,330.0,354.0,40.0,354.0,355.0
131,309.0,292.0,359.0,419.0,353.0,316.0,279.0,330.0,352.0,55.0,356.0,357.0
132,309.0,290.0,356.0,442.0,355.0,317.0,280.0,334.0,354.0,768.0,358.0,357.0
133,308.0,290.0,355.0,165.0,353.0,316.0,280.0,332.0,353.0,894.0,359.0,358.0
134,310.0,291.0,357.0,537.0,353.0,316.0,280.0,331.0,350.0,55.0,357.0,354.0
135,308.0,290.0,355.0,178.0,351.0,316.0,283.0,330.0,355.0,898.0,359.0,358.0
136,307.0,290.0,357.0,444.0,353.0,320.0,282.0,333.0,354.0,898.0,359.0,357.0
137,307.0,291.0,356.0,195.0,353.0,317.0,278.0,330.0,357.0,899.0,359.0,359.0
138,309.0,292.0,356.0,528.0,354.0,317.0,280.0,333.0,354.0,38.0,358.0,356.0
139,310.0,290.0,354.0,197.0,352.0,314.0,279.0,334.0,353.0,904.0,359.0,358.0
140,310.0,290.0,358.0,523.0,353.0,317.0,282.0,332.0,352.0,38.0,356.0,354.0
141,310.0,289.0,356.0,169.0,352.0,316.0,281.0,330.0,355.0,897.0,358.0,356.0
142,310.0,291.0,358.0,548.0,353.0,317.0,280.0,329.0,351.0,56.0,354.0,357.0
143,310.0,290.0,356.0,228.0,352.0,316.0,279.0,330.0,353.0,729.0,360.0,361.0
144,309.0,292.0,356.0,524.0,354.0,318.0,280.0,331.0,353.0,44.0,358.0,356.0
145,309.0,290.0,354.0,199.0,352.0,315.0,279.0,332.0,352.0,908.0,362.0,358.0
146,311.0,294.0,357.0,438.0,352.0,315.0,279.0,330.0,352.0,55.0,357.0,354.0
147,310.0,289.0,356.0,329.0,352.0,316.0,282.0,333.0,353.0,892.0,359.0,357.0
148,310.0,291.0,358.0,443.0,352.0,316.0,279.0,330.0,352.0,56.0,354.0,356.0
149,308.0,290.0,356.0,283.0,353.0,318.0,280.0,333.0,354.0,897.0,358.0,360.0
150,308.0,292.0,357.0,291.0,353.0,317.0,278.0,330.0,353.0,100.0,357.0,360.0
151,308.0,290.0,354.0,280.0,353.0,316.0,280.0,333.0,353.0,894.0,361.0,358.0
152,308.0,290.0,354.0,280.0,353.0,316.0,280.0,333.0,353.0,894.0,361.0,358.0
153,309.0,291.0,357.0,480.0,351.0,316.0,280.0,330.0,354.0,56.0,357.0,357.0
154,310.0,290.0,358.0,540.0,353.0,318.0,282.0,329.0,352.0,61.0,356.0,355.0
155,307.0,290.0,357.0,176.0,351.0,317.0,281.0,331.0,354.0,898.0,358.0,358.0
156,307.0,290.0,357.0,176.0,351.0,317.0,281.0,331.0,354.0,898.0,358.0,358.0
157,309.0,290.0,357.0,534.0,354.0,318.0,283.0,333.0,354.0,46.0,358.0,356.0
158,309.0,292.0,357.0,429.0,353.0,317.0,282.0,332.0,354.0,708.0,358.0,356.0
159,312.0,290.0,360.0,474.0,352.0,318.0,281.0,329.0,352.0,54.0,356.0,358.0
160,309.0,292.0,357.0,368.0,353.0,318.0,281.0,332.0,354.0,892.0,356.0,357.0
161,309.0,291.0,358.0,427.0,352.0,317.0,280.0,330.0,354.0,55.0,356.0,356.0
162,308.0,291.0,354.0,176.0,353.0,317.0,281.0,332.0,354.0,892.0,359.0,358.0
163,309.0,291.0,354.0,221.0,354.0,316.0,279.0,331.0,356.0,912.0,359.0,360.0
164,310.0,289.0,355.0,426.0,353.0,317.0,281.0,332.0,353.0,898.0,361.0,355.0
165,310.0,289.0,356.0,225.0,351.0,316.0,281.0,329.0,354.0,910.0,361.0,360.0
166,310.0,290.0,358.0,521.0,352.0,318.0,281.0,332.0,354.0,38.0,355.0,355.0
167,308.0,292.0,359.0,350.0,352.0,317.0,278.0,330.0,353.0,52.0,355.0,358.0
168,308.0,293.0,357.0,206.0,353.0,317.0,282.0,334.0,356.0,894.0,362.0,360.0
169,310.0,291.0,355.0,272.0,355.0,315.0,279.0,331.0,353.0,907.0,360.0,360.0
170,309.0,290.0,356.0,545.0,353.0,317.0,282.0,332.0,352.0,392.0,358.0,354.0
171,309.0,290.0,356.0,545.0,353.0,317.0,282.0,332.0,352.0,392.0,358.0,354.0
172,307.0,292.0,356.0,232.0,352.0,318.0,278.0,331.0,356.0,894.0,357.0,359.0
173,312.0,292.0,356.0,559.0,355.0,316.0,280.0,332.0,354.0,38.0,356.0,355.0
174,309.0,290.0,355.0,199.0,351.0,317.0,280.0,332.0,353.0,887.0,360.0,357.0
175,310.0,290.0,357.0,482.0,352.0,317.0,280.0,330.0,352.0,58.0,356.0,354.0
176,308.0,289.0,356.0,243.0,353.0,317.0,280.0,330.0,354.0,895.0,357.0,359.0
177,311.0,290.0,360.0,361.0,351.0,317.0,279.0,329.0,352.0,128.0,356.0,357.0
178,308.0,291.0,355.0,314.0,355.0,317.0,280.0,333.0,354.0,914.0,361.0,360.0
179,309.0,293.0,356.0,590.0,355.0,316.0,279.0,331.0,353.0,56.0,356.0,356.0
180,311.0,290.0,358.0,279.0,354.0,317.0,283.0,330.0,352.0,905.0,359.0,357.0
181,310.0,289.0,357.0,605.0,354.0,316.0,281.0,329.0,352.0,57.0,356.0,356.0
182,307.0,289.0,357.0,240.0,351.0,316.0,279.0,330.0,353.0,908.0,359.0,357.0
183,307.0,289.0,357.0,240.0,351.0,316.0,279.0,330.0,353.0,908.0,359.0,357.0
184,310.0,293.0,356.0,586.0,354.0,316.0,279.0,331.0,352.0,57.0,358.0,356.0
185,312.0,291.0,356.0,505.0,356.0,317.0,281.0,333.0,351.0,46.0,356.0,357.0
186,310.0,289.0,356.0,202.0,351.0,316.0,282.0,330.0,351.0,875.0,359.0,357.0
187,307.0,289.0,356.0,357.0,352.0,319.0,281.0,330.0,354.0,898.0,358.0,357.0
188,307.0,289.0,356.0,214.0,351.0,317.0,278.0,330.0,354.0,911.0,360.0,358.0
189,309.0,292.0,359.0,542.0,353.0,318.0,279.0,332.0,353.0,42.0,357.0,357.0
190,309.0,292.0,355.0,252.0,353.0,315.0,279.0,331.0,351.0,322.0,359.0,357.0
191,309.0,290.0,355.0,310.0,354.0,316.0,281.0,331.0,355.0,893.0,361.0,359.0
192,309.0,288.0,356.0,248.0,350.0,316.0,282.0,330.0,352.0,912.0,359.0,357.0
193,309.0,288.0,356.0,248.0,350.0,316.0,282.0,330.0,352.0,912.0,359.0,357.0
194,308.0,290.0,359.0,541.0,353.0,318.0,281.0,333.0,356.0,36.0,358.0,359.0
195,308.0,290.0,359.0,541.0,353.0,318.0,281.0,333.0,356.0,36.0,358.0,359.0
196,308.0,290.0,356.0,442.0,353.0,317.0,281.0,333.0,352.0,900.0,359.0,356.0
197,309.0,289.0,356.0,228.0,351.0,315.0,280.0,332.0,351.0,910.0,359.0,357.0
198,308.0,291.0,357.0,417.0,352.0,318.0,282.0,330.0,354.0,899.0,357.0,356.0
199,307.0,289.0,356.0,214.0,353.0,316.0,279.0,330.0,353.0,909.0,357.0,360.0
